bhk_name,bhk_url,bhk_price,bhk_area,bhk_location,bhk_location_url
2,https://www.makaan.com/mumbai/builder-project-in-thane-west-19841070/2bhk-2t-880-sqft-apartment,94 L,880,Thane West,https://www.makaan.com/mumbai-property/thane-west-flats-for-sale-50063
1,https://www.makaan.com/mumbai/hubtown-limited-greenwoods-in-thane-west-19835155/1bhk-2t-630-sqft-apartment,68 L,630,Thane West,https://www.makaan.com/mumbai-property/thane-west-flats-for-sale-50063
1,https://www.makaan.com/mumbai/builder-project-in-thane-west-19841120/1bhk-2t-640-sqft-apartment,73 L,640,Thane West,https://www.makaan.com/mumbai-property/thane-west-flats-for-sale-50063
1,https://www.makaan.com/mumbai/kanakia-spaces-realty-zenworld-phase-i-in-kanjurmarg-19842008/1bhk-1t-610-sqft-apartment,1.1 Cr,610,Kanjurmarg,https://www.makaan.com/mumbai-property/kanjurmarg-flats-for-sale-50013
2,https://www.makaan.com/mumbai/shubh-realty-mumbai-seven-square-avenue-in-bhayandar-east-19836237/2bhk-2t-1091-sqft-apartment,90.14 L,1091,Bhayandar East,https://www.makaan.com/mumbai-property/bhayandar-east-flats-for-sale-51209
1,https://www.makaan.com/mumbai/raj-realty-akshay-in-mira-road-east-19836236/1bhk-2t-711-sqft-apartment,64.9 L,711,Mira Road East,https://www.makaan.com/mumbai-property/mira-road-east-flats-for-sale-51735
1,https://www.makaan.com/mumbai/umiya-developers-oasis-in-mira-road-east-19833376/1bhk-2t-715-sqft-apartment,58.9 L,715,Mira Road East,https://www.makaan.com/mumbai-property/mira-road-east-flats-for-sale-51735
3,https://www.makaan.com/mumbai/runwal-realty-my-city-in-dombivali-19833289/3bhk-3t-1521-sqft-apartment,82.5 L,1521,Dombivali,https://www.makaan.com/mumbai-property/dombivali-flats-for-sale-50030
1,https://www.makaan.com/mumbai/vira-theatres-mahavir-sarvoday-plaza-in-dombivali-19833217/1bhk-1t-560-sqft-apartment,55 L,560,Dombivali,https://www.makaan.com/mumbai-property/dombivali-flats-for-sale-50030
2,https://www.makaan.com/mumbai/runwal-realty-my-city-in-dombivali-19833175/2bhk-2t-1137-sqft-apartment,65.1 L,1137,Dombivali,https://www.makaan.com/mumbai-property/dombivali-flats-for-sale-50030
2,https://www.makaan.com/mumbai/builder-project-in-dombivali-east-19833114/2bhk-2t-990-sqft-apartment,58.2 L,990,Dombivali East,https://www.makaan.com/mumbai-property/dombivali-east-flats-for-sale-51731
2,https://www.makaan.com/mumbai/balaji-group-mumbai-delta-tower-2-in-ulwe-19846402/2bhk-2t-1150-sqft-apartment,1.25 Cr,1150,Ulwe,https://www.makaan.com/mumbai-property/ulwe-flats-for-sale-50412
2,https://www.makaan.com/mumbai/godrej-properties-prime-in-chembur-19838212/2bhk-2t-1250-sqft-apartment,1.8 Cr,1250,Chembur,https://www.makaan.com/mumbai-property/chembur-flats-for-sale-50033
