location,area,bhk,price
Harohalli,1440,3,14500000
Subramanyapura,1025,2,8300000
Subramanyapura,2200,4,12000000
RR Nagar,1600,3,14000000
Vidyaranyapura,1735,3,11200000
Vidyaranyapura,1275,2,8422000
Vidyaranyapura,1955,3,12600000
Vidyaranyapura,1250,2,8267000
Vidyaranyapura,1550,2,10100000
Vidyaranyapura,1225,2,8112000
Vidyaranyapura,1255,2,8298000
Anantapura,1200,3,7080000
Brookefield,2400,3,12500000
Hemmigepura,2400,4,12400000
Harlur,5600,10,23500000
Kannur,1200,3,3360000
Hennur,1500,3,4200000
Electronic City Phase 1,1469,3,10500000
Yelahanka New Town,1614,2,18600000
Hoskote,2400,3,7100000
Electronic City Phase 1,900,2,6500000
Krishnarajapura,1800,4,9500000
Narayanapura on Hennur Main Road,1079,2,5900000
Jakkur,1241,3,7200000
HSR Layout,953,2,8000000
Sarjapur,751,2,3004000
Sarjapur,891,2,3564000
Sarjapur,757,2,3028000
Sarjapur,1390,3,5560000
Sarjapur,810,2,3240000
Sarjapur,943,3,3772000
Sarjapur,805,2,3220000
Sarjapur,928,3,3712000
Sarjapur,995,3,3980000
Sarjapur,998,3,3992000
Sarjapur,1235,3,4940000
Sarjapur,984,3,3936000
Sarjapur,788,2,3152000
Sarjapur,917,3,3668000
Sarjapur,1076,2,4304000
Sarjapur,1215,3,4860000
Sarjapur,988,3,3952000
Sarjapur,792,2,3168000
Sarjapur,790,2,3160000
Sarjapur,778,2,3112000
Sarjapur,1459,3,5836000
Sarjapur,915,2,3660000
Sarjapur,903,2,3612000
Sarjapur,834,2,3336000
Sarjapur,775,2,3100000
Sarjapur,1180,3,4720000
Sarjapur,1450,3,5800000
Sarjapur,763,2,3052000
Sarjapur,766,2,3064000
Sarjapur,1434,3,5736000
Sarjapur,965,3,3860000
Sarjapur,1564,3,6256000
Sarjapur,1145,2,4580000
RR Nagar,1652,3,11900000
Ramamurthy Nagar,650,1,2000000
Bilekahalli,2400,3,14000000
Devanahalli,3000,3,5000000
Sivarampalli,2457,3,15200000
Attibele,1500,3,3150000
Armane Nagar,3870,3,55000000
Bidadi,2400,3,4800000
