location,area,bhk,price
Sector 22 Dwarka,1600,3,17000000
Sector 5 Dwarka,2200,4,19500000
Sector 12 Dwarka,1700,3,21000000
Sector 4 Dwarka,2400,4,21000000
Sector 3 Dwarka,2400,4,29000000
Sector 4 Dwarka,1800,4,21000000
Sector 5 Dwarka,1800,4,19500000
Sector 4 Dwarka,1600,3,15300000
Sector 12 Dwarka,1700,3,17000000
Sector 3 Dwarka,2400,4,29000000
Sector 4 Dwarka,1800,4,21000000
Sector 5 Dwarka,1800,4,19500000
Sector 4 Dwarka,1600,3,15300000
Sector 12 Dwarka,1700,3,17000000
Sector 19 Dwarka,2200,3,21500000
Sector 22 Dwarka,1600,3,25000000
Sector 3 Dwarka,1600,3,16000000
Sector 12 Dwarka,1700,3,19400000
Sector-18 Dwarka,2000,4,21700000
Sector 5 Dwarka,2400,4,21100000
Sector 22 Dwarka,1800,3,22500000
Sector-18 Dwarka,2400,4,24000000
Sector 10 Dwarka,2400,4,26000000
Sector 19 Dwarka,1800,3,24000000
Sector 11 Dwarka,2400,4,24000000
Sector 11 Dwarka,2400,4,20000000
Sector 5 Dwarka,2400,4,22500000
Sector 11 Dwarka,1750,3,18500000
Sector 3 Dwarka,1700,3,16000000
Sector 13 Dwarka,1700,3,17500000
Sector 4 Dwarka,2200,3,21500000
Sector 19 Dwarka,1700,3,18500000
Dwarka Mor,1750,3,18100000
Dwarka Mor,900,3,4800000
Nawada,1000,3,5500000
Nawada,500,2,2500000
Dwarka Mor,750,2,2800000
Nawada,750,2,2800000
Dwarka Mor,750,3,3800000
Nawada,800,3,4500000
Dwarka Mor,600,2,3500000
Nawada,600,2,3500000
Dwarka Mor,550,2,2200000
Nawada,550,2,2200000
Sector 6 Dwarka,1700,3,16000000
Sector 6 Dwarka,1700,3,15800000
Sector 19 Dwarka,1300,2,11000000
Sector 11 Dwarka,1350,2,9900000
Sector 10 Dwarka,2200,4,22000000
Sector 6 Dwarka,2400,4,23000000
Sector 19 Dwarka,1750,3,17000000
Sector 12 Dwarka,1750,3,18000000
Sector 6 Dwarka,1700,3,16000000
Mahipalpur,500,1,2000000
Shahdara,1000,3,6500000
Sector 2 Dwarka,1800,3,24500000
Sector 2 Dwarka,1750,3,19000000
Sector 2 Dwarka,1700,3,18500000
Sector 5 Dwarka,1700,3,17800000
Sector 3 Dwarka,1700,3,16800000
Sector 22 Dwarka,1800,3,20500000
Sector 4 Dwarka,2400,4,20800000
Sector-18 Dwarka,2400,4,22500000
Sector 4 Dwarka,1700,3,18500000
Sector 19 Dwarka,2000,3,22500000
Burari,630,2,3200000
Burari,630,2,3400000
Burari,900,3,4500000
Burari,630,2,3300000
Burari,630,2,3300000
Burari,720,2,3500000
Burari,900,3,4500000
Burari,630,2,3200000
Burari,630,2,3400000
Uttam Nagar,1000,3,7000000
Uttam Nagar,600,2,2500000
Uttam Nagar,765,3,4500000
Sector 23 Dwarka,1700,3,16000000
Sector 6 Dwarka,2500,4,33500000
Sector 12 Dwarka,1700,3,17500000
Vasant Kunj,1700,5,32000000
Sector 3 Dwarka,2400,4,29000000
Sector 6 Dwarka,2600,4,17500000
Sector 6 Dwarka,1750,3,19800000
Sector 23 Dwarka,385,1,3000000
Sector 12 Dwarka,1800,3,24000000
Sector 10 Dwarka,1750,3,17500000
Sector 6 Dwarka,1700,3,16500000
Sector 23 Dwarka,1700,3,16500000
Sector 23 Dwarka,1700,3,18100000
Sector 6 Dwarka,1700,3,15800000
Sector 12 Dwarka,2400,4,25000000
Sector 6 Dwarka,1700,3,16400000
Sector 6 Dwarka,1700,3,15700000
Sector 22 Dwarka,1700,3,15000000
Sector 7 Dwarka,1750,3,18100000
Sector 2 Dwarka,2200,3,19000000
Sector 10 Dwarka,1800,4,18500000
Sector 10 Dwarka,1700,3,17900000
Sector 6 Dwarka,1700,3,18000000
Sector 13 Dwarka,2400,4,23000000
Sector 19 Dwarka,1700,3,15800000
Sector 10 Dwarka,1700,3,16500000
Sector 22 Dwarka,2400,4,27500000
Sector 10 Dwarka,2400,4,23500000
Sector 4 Dwarka,1200,2,12800000
Sector 23 Dwarka,2400,4,26500000
Sector 9 Dwarka,2400,4,21500000
Sector 3 Dwarka,1750,3,19800000
Sector 4 Dwarka,2400,4,20600000
Sector 12 Dwarka,1700,3,16200000
Sector 5 Dwarka,2200,3,22500000
Sector 11 Dwarka,2000,4,20700000
Sector 2 Dwarka,1750,3,18000000
Sector 2 Dwarka,1750,3,20000000
Sector 6 Dwarka,2200,4,26000000
Sector 6 Dwarka,2400,4,22500000
Sector-18 Dwarka,1700,3,27000000
Sector 4 Dwarka,2400,4,25000000
Sector 22 Dwarka,1750,3,18200000
Sector 6 Dwarka,2200,3,24800000
Sector 4 Dwarka,2200,3,24000000
Sector 18A Dwarka,1750,3,19500000
Sector-18 Dwarka,1750,3,18900000
Sector-18 Dwarka,1800,3,22000000
Sector 19 Dwarka,2200,4,24000000
Sector 10 Dwarka,1800,3,16000000
Sector 6 Dwarka,2000,3,15500000
Sector 7 Dwarka,1700,3,13900000
Sector 6 Dwarka,2000,2,15500000
Sector 5 Dwarka,1800,3,16800000
Sector-18 Dwarka,2000,4,26500000
Sector 12 Dwarka,1900,3,15600000
Sector 10 Dwarka,1700,3,14500000
Sector 12 Dwarka,2200,3,21000000
Sector 22 Dwarka,1290,2,12900000
Sector 11 Dwarka,1700,3,14900000
Sector-18 Dwarka,1700,3,14500000
Sector-18 Dwarka,2000,4,24000000
Sector 11 Dwarka,2000,4,20500000
Sector 11 Dwarka,1600,3,19800000
Sector 11 Dwarka,1700,3,19700000
Sector 3 Dwarka,1700,3,24800000
Uttam Nagar,540,2,2375000
Uttam Nagar,630,2,5200000
Uttam Nagar,630,2,3200000
Dwarka Mor,630,2,3000000
Sector 13 Dwarka,2000,4,22200000
Vasant Kunj,1400,2,18000000
Uttam Nagar,558,2,3700000
Uttam Nagar,900,3,4700000
Uttam Nagar,990,3,4900000
Uttam Nagar,585,2,3221000
Uttam Nagar,990,3,6250000
Uttam Nagar,450,1,1950000
Sector 23 Dwarka,385,1,3600000
Sector 11 Dwarka,2200,3,24500000
Sector 10 Dwarka,2400,4,24500000
Sector 19 Dwarka,2400,4,22500000
Sector 9 Dwarka,1900,3,16900000
Sector 12 Dwarka,2000,4,24000000
