,BHK,Area,Price,Location
365,3 ,1827 ,85.85 L,"Mogappair,Chennai"
366,3 ,1530 ,71.89 L,"Mogappair,Chennai"
367,3 ,1530 ,71.89 L,"Mogappair,Chennai"
368,3 ,1396 ,65.59 L,"Mogappair,Chennai"
369,3 ,1396 ,65.59 L,"Mogappair,Chennai"
370,2 ,925 ,53.65 L,"Pammal,Chennai"
371,2 ,1165 ,67.57 L,"Pammal,Chennai"
372,2 ,824 ,49.44 L,"Pozhichalur,Chennai"
373,3 ,1354 ,81.24 L,"Pozhichalur,Chennai"
374,3 ,1354 ,81.24 L,"Pozhichalur,Chennai"
375,2 ,927 ,55.62 L,"Pozhichalur,Chennai"
376,2 ,927 ,55.62 L,"Pozhichalur,Chennai"
377,2 ,828 ,49.68 L,"Pozhichalur,Chennai"
378,2 ,828 ,49.68 L,"Pozhichalur,Chennai"
379,3 ,1171 ,70.26 L,"Pozhichalur,Chennai"
380,3 ,1171 ,70.26 L,"Pozhichalur,Chennai"
381,2 ,824 ,49.44 L,"Pozhichalur,Chennai"
382,3 ,1931 ,86.87 L,"Perungalathur,Chennai"
383,2 ,1117 ,53.47 L,"Tiruvottiyur,Chennai"
384,3 ,1423 ,67.63 L,"Tiruvottiyur,Chennai"
385,2 ,1093 ,52.37 L,"Tiruvottiyur,Chennai"
386,3 ,1405 ,66.81 L,"Tiruvottiyur,Chennai"
387,2 ,1144 ,54.72 L,"Tiruvottiyur,Chennai"
388,2 ,1142 ,54.63 L,"Tiruvottiyur,Chennai"
389,2 ,1154 ,55.19 L,"Tiruvottiyur,Chennai"
390,2 ,1130 ,54.09 L,"Tiruvottiyur,Chennai"
391,2 ,1064 ,50.5 L,"Tiruvottiyur,Chennai"
392,3 ,1394 ,66.3 L,"Tiruvottiyur,Chennai"
393,3 ,1395 ,66.35 L,"Tiruvottiyur,Chennai"
394,3 ,910 ,42.4 L,"Avadi,Chennai"
395,2 ,815 ,37.97 L,"Avadi,Chennai"
396,2 ,1182 ,79.78 L,"Koyambedu,Chennai"
397,2 ,1025 ,69.18 L,"Koyambedu,Chennai"
398,3 ,1494 ,1 Cr,"Koyambedu,Chennai"
399,2 ,1033 ,69.72 L,"Koyambedu,Chennai"
400,3 ,1674 ,1.12 Cr,"Koyambedu,Chennai"
401,2 ,1088 ,73.44 L,"Koyambedu,Chennai"
402,2 ,1285 ,86.73 L,"Koyambedu,Chennai"
